T_K,gamma_s^-1,eta_Pa_s
226,5036486.33053,2.54564
226,10000000.0,2.45463
226,20050613.22577,2.09641
226,50364863.30526,1.06902
226,100984639.43027,0.63057
226,200506132.25772,0.44893
226,498737863.39595,0.20774
226,1000000000.0,0.1326
226,2487394563.84757,0.05775
226,4987378633.95947,0.03167
226,9999999999.99996,0.01846
226,20050613225.77173,0.01
226,49873786339.59473,0.00526
266,200506132.25772,0.00924
266,493874975.64947,0.01801
266,1000000000.0,0.01109
266,2511886431.50957,0.01252
266,5086077560.83674,0.00994
266,9902496118.635,0.00891
266,19661516916.29894,0.00597
266,48429098297.04246,0.00346
